student_id,email,week,engagement_score,time_spent_min,interactions,quiz_score,submissions,logins,anomaly,engagement_label
ETU001,karim.ouali1@etu.uca.ma,1,56.3,87,4,47.3,4,9,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,2,50.9,169,12,55.3,1,9,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,3,55.5,48,4,73.9,5,7,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,4,53.3,172,14,67.0,4,14,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,5,61.4,49,21,91.9,2,13,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,6,49.2,131,5,61.8,5,12,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,7,52.9,65,16,93.9,5,5,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,8,59.4,70,4,56.2,1,9,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,9,72.2,20,19,52.7,0,2,0,Engagé
ETU001,karim.ouali1@etu.uca.ma,10,72.4,98,7,34.1,4,2,0,Engagé
ETU001,karim.ouali1@etu.uca.ma,11,52.7,37,24,67.3,1,3,0,Modéré
ETU001,karim.ouali1@etu.uca.ma,12,65.7,62,8,66.9,4,7,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,1,88.6,71,22,51.8,5,11,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,2,85.2,135,3,47.4,0,6,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,3,80.2,170,7,30.5,5,11,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,4,75.4,28,27,53.1,4,4,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,5,83.1,158,4,80.6,4,10,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,6,90.9,124,6,36.6,5,7,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,7,83.2,33,21,75.7,5,2,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,8,88.1,47,7,43.4,4,8,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,9,75.4,138,7,91.2,0,8,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,10,100.0,45,1,75.7,4,14,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,11,70.3,80,5,58.4,3,4,0,Engagé
ETU002,amine.mekouar2@etu.uca.ma,12,70.0,62,12,30.2,3,5,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,1,83.7,162,21,80.3,1,4,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,2,82.7,168,23,68.0,5,6,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,3,78.8,148,29,89.7,1,1,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,4,82.5,67,2,71.7,5,14,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,5,75.1,165,7,70.5,0,10,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,6,82.6,164,16,52.1,2,4,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,7,82.3,87,12,39.2,5,5,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,8,94.8,38,0,62.1,4,2,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,9,73.4,87,4,95.3,0,4,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,10,74.4,159,22,51.2,5,9,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,11,92.0,96,29,76.4,1,5,0,Engagé
ETU003,nour.benbrahim3@etu.uca.ma,12,72.1,161,4,49.1,4,4,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,1,67.4,87,16,64.2,0,2,0,Modéré
ETU004,sara.tazi4@etu.uca.ma,2,73.8,31,0,53.3,1,11,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,3,72.7,133,17,79.4,4,1,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,4,72.9,58,17,32.5,2,10,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,5,71.4,30,9,55.5,0,6,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,6,65.1,46,11,84.6,3,10,0,Modéré
ETU004,sara.tazi4@etu.uca.ma,7,84.4,80,27,41.4,1,7,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,8,74.4,105,25,95.2,5,14,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,9,69.5,60,25,79.1,3,14,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,10,69.0,71,26,94.3,2,5,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,11,90.4,77,0,76.2,3,6,0,Engagé
ETU004,sara.tazi4@etu.uca.ma,12,62.6,91,11,74.9,3,11,0,Modéré
ETU005,youssef.idrissi5@etu.uca.ma,1,86.1,49,28,97.9,1,10,0,Engagé
ETU005,youssef.idrissi5@etu.uca.ma,2,88.2,47,19,60.4,5,13,0,Engagé
ETU005,youssef.idrissi5@etu.uca.ma,3,84.6,150,3,57.0,4,4,0,Engagé
ETU005,youssef.idrissi5@etu.uca.ma,4,86.0,20,16,94.8,4,11,0,Engagé
ETU005,youssef.idrissi5@etu.uca.ma,5,92.3,70,11,60.2,5,6,0,Engagé
ETU005,youssef.idrissi5@etu.uca.ma,6,91.1,51,23,93.0,4,5,0,Engagé
ETU005,youssef.idrissi5@etu.uca.ma,7,85.5,95,17,38.9,3,11,0,Engagé
